COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_MF	p_M	N_MF	N_M
ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)!!!ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	2	0.1572992070502845	1	MF	COG0765!!!COG0834	GC_00003915	1	0	1	1
Phage-encoded DNA-binding protein ECs1768, contains HTH and DnaT DNA-binding domains (ECs1768)	2	0.1572992070502845	1	MF	COG5529	GC_00003849	1	0	1	1
Surface antigen (PDB:1QWY)	2	0.1572992070502845	1	MF	COG3942	GC_00003726	1	0	1	1
Uncharacterized conserved protein, DUF2199 domain	2	0.1572992070502845	1	MF	COG4899	GC_00003992	1	0	1	1
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)!!!Predicted ATPase	2	0.1572992070502845	1	MF	COG2197!!!COG3903	GC_00003629	1	0	1	1
Predicted nucleotide-binding protein containing TIR -like domain	2	0.1572992070502845	1	MF	COG4271	GC_00003880	1	0	1	1
Predicted restriction endonuclease	2	0.1572992070502845	1	MF	COG3440	GC_00003765	1	0	1	1
Predicted ABC-type ATPase or kinase	2	0.1572992070502845	1	MF	COG4185	GC_00003591, GC_00003654	1	0	1	1
NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)!!!NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)	2	0.1572992070502845	1	MF	COG1894!!!COG1905	GC_00003982	1	0	1	1
Uncharacterized phage-associated protein, contains DUF4065 domain (GepA)	2	0.1572992070502845	1	MF	COG3600	GC_00003821	1	0	1	1
DNA-cytosine methylase (Dcm) (PDB:3LX6)	1.9999999999999991	0.15729920705028527	1	M	COG0270	GC_00004014	0	1	1	1
Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)	1.9999999999999991	0.15729920705028527	1	M	COG0775	GC_00003925	0	1	1	1
Transposase, IS1182 family	1.9999999999999991	0.15729920705028527	1	M	COG3666	GC_00003892	0	1	1	1
Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain (YfmG) (PDB:2AFT)	1.9999999999999991	0.15729920705028527	1	M	COG1262	GC_00003948	0	1	1	1
Cold shock protein, CspA family (CspC) (PDB:1C9O)!!!Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)	1.9999999999999991	0.15729920705028527	1	M	COG1278!!!COG3063	GC_00003682	0	1	1	1
ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)!!!Uncharacterized conserved protein	1.9999999999999991	0.15729920705028527	1	M	COG1051!!!COG4111	GC_00003963	0	1	1	1
Transposase and inactivated derivatives, TnpA family	1.9999999999999991	0.15729920705028527	1	M	COG4644	GC_00003852	0	1	1	1
Predicted flavin-nucleotide-binding protein, pyridoxine 5'-phosphate oxidase superfamily (PDB:5ESC)	1.9999999999999991	0.15729920705028527	1	M	COG3576	GC_00004012	0	1	1	1
Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)	1.9999999999999991	0.15729920705028527	1	M	COG3119	GC_00004011	0	1	1	1
Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ... (PDB:2W00)	1.9999999999999991	0.15729920705028527	1	M	COG0610	GC_00003867	0	1	1	1
RNA:NAD 2'-phosphotransferase, TPT1/KptA family (KptA) (PDB:1WFX)	1.9999999999999991	0.15729920705028527	1	M	COG1859	GC_00003838	0	1	1	1
Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO)	1.9999999999999991	0.15729920705028527	1	M	COG4118	GC_00003722	0	1	1	1
GDP-D-mannose dehydratase (Gmd) (PDB:1DB3)	1.9999999999999991	0.15729920705028527	1	M	COG1089	GC_00004155	0	1	1	1
Periplasmic serine protease, ClpP class (SppA) (PDB:3BEZ)	1.9999999999999991	0.15729920705028527	1	M	COG0616	GC_00004156	0	1	1	1
NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain (Nnr2) (PDB:1KYH)	1.9999999999999991	0.15729920705028527	1	M	COG0063	GC_00003594	0	1	1	1
Predicted phosphoesterase, related to the Icc protein (PDB:2YVT)	1.9999999999999991	0.15729920705028527	1	M	COG2129	GC_00003936	0	1	1	1
DNA-binding ferritin-like protein (Dps family) (GINS) (PDB:2HH6)	1.9999999999999991	0.15729920705028527	1	M	COG4817	GC_00004079	0	1	1	1
NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation (LabA) (PDB:2QIP)	1.9999999999999991	0.15729920705028527	1	M	COG1432	GC_00004085	0	1	1	1
NADPH-dependent curcumin reductase CurA (CurA) (PDB:1V3T) (PUBMED:21467222)	0	1	1	NA	COG2130	GC_00002769	1	1	1	1
NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains (ViuB) (PDB:2GPJ)	0	1	1	NA	COG2375	GC_00001953, GC_00002203	1	1	1	1
Histidinol dehydrogenase (HisD) (PDB:1K75)	0	1	1	NA	COG0141	GC_00003162	1	1	1	1
Anti-sigma-K factor RskA (RskA) (PUBMED:16011798;15972856)	0	1	1	NA	COG5343	GC_00001723	1	1	1	1
Dihydropteroate synthase (FolP) (PDB:1AD1)	0	1	1	NA	COG0294	GC_00000333	1	1	1	1
Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)	0	1	1	NA	COG0243	GC_00000137	1	1	1	1
Bacterial nucleoid DNA-binding protein IHF-alpha (HimA) (PDB:1B8Z)	0	1	1	NA	COG0776	GC_00000438	1	1	1	1
CubicO group peptidase, beta-lactamase class C family (AmpC) (PDB:1BLS)	0	1	1	NA	COG1680	GC_00001281, GC_00002258	1	1	1	1
DNA-binding transcriptional regulator, XRE family (YozG) (PDB:3TYR)	0	1	1	NA	COG3655	GC_00001771	1	1	1	1
Molybdopterin synthase catalytic subunit MoaE (MoaE) (PDB:1FM0) (PUBMED:32239579)	0	1	1	NA	COG0314	GC_00002092	1	1	1	1
DNA glycosylase YcaQ, repair of DNA interstrand crosslinks (YcaQ) (PUBMED:32409837)	0	1	1	NA	COG3214	GC_00001947, GC_00003147	1	1	1	1
Acetamidase/formamidase (FmdA) (PDB:2F4L)	0	1	1	NA	COG2421	GC_00000210	1	1	1	1
Flagellar biosynthesis/type III secretory pathway protein FliH (FliH) (PDB:5B0O)	0	1	1	NA	COG1317	GC_00003581	1	1	1	1
Uridylate kinase (PyrH) (PDB:2BND)	0	1	1	NA	COG0528	GC_00001359	1	1	1	1
Endonuclease III (Nth) (PDB:4UOB)	0	1	1	NA	COG0177	GC_00000723, GC_00002366	1	1	1	1
Imidazolonepropionase or related amidohydrolase (HutI) (PDB:3OOQ)	0	1	1	NA	COG1228	GC_00002286, GC_00002643, GC_00002687	1	1	1	1
D-threonate/D-erythronate kinase OtnK and related C4-acid sugar kinases, YgbK/DUF1537 family (OtnK) (PDB:1YZY) (PUBMED:27402745)	0	1	1	NA	COG3395	GC_00001214	1	1	1	1
Flagellar biosynthesis protein FlhA (FlhA) (PDB:6AI0)	0	1	1	NA	COG1298	GC_00003568	1	1	1	1
Malate synthase (AceB) (PDB:1D8C)	0	1	1	NA	COG2225	GC_00000101	1	1	1	1
Phospholipase C (PlcC)	0	1	1	NA	COG3511	GC_00000119, GC_00000404, GC_00002980, GC_00003113, GC_00003552, GC_00004053	1	1	1	1
Fumarate hydratase class II (FumC) (PDB:1KQ7)	0	1	1	NA	COG0114	GC_00000893	1	1	1	1
2-keto-4-pentenoate hydratase (MhpD) (PDB:1SV6)	0	1	1	NA	COG3971	GC_00003497	1	1	1	1
Flagellar biosynthesis protein FliR (FliR) (PDB:6S3R)	0	1	1	NA	COG1684	GC_00000366	1	1	1	1
Cytochrome c oxidase assembly protein CtaG (CtaG) (PUBMED:14766920)	0	1	1	NA	COG3336	GC_00000964, GC_00002281	1	1	1	1
Molybdopterin-binding protein MopI (MopI) (PDB:1B9M)	0	1	1	NA	COG3585	GC_00001659	1	1	1	1
Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)	0	1	1	NA	COG0394	GC_00001268, GC_00001449, GC_00002961	1	1	1	1
Uncharacterized membrane protein (PDB:1EUT)!!!Neuraminidase (sialidase) NanH, contains C-terminal autotransporter domain (NanH) (PDB:1EUT)	0	1	1	NA	COG1470!!!COG4409	GC_00003019	1	1	1	1
ABC-type phosphate transport system, permease component (PstA)	0	1	1	NA	COG0581	GC_00001485	1	1	1	1
Ferredoxin (Fdx) (PDB:1KRH)!!!Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)	0	1	1	NA	COG0633!!!COG1018	GC_00000860, GC_00002719	1	1	1	1
DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)	0	1	1	NA	COG1349	GC_00000217, GC_00001228, GC_00001350, GC_00003575	1	1	1	1
Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	0	1	1	NA	COG0505	GC_00001716	1	1	1	1
ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	0	1	1	NA	COG1126	GC_00000001	1	1	1	1
NAD/NADP transhydrogenase beta subunit (PntB) (PDB:1D4O)	0	1	1	NA	COG1282	GC_00001408	1	1	1	1
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)!!!4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)	0	1	1	NA	COG1082!!!COG3185	GC_00002598	1	1	1	1
Signal recognition particle GTPase FtsY (FtsY) (PDB:4AK9)	0	1	1	NA	COG0552	GC_00002998	1	1	1	1
Phosphotransferase system, fructose-specific IIC component (FrwC)!!!Phosphotransferase system fructose-specific component IIB (FrwB) (PDB:5DLE)!!!Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3)	0	1	1	NA	COG1299!!!COG1445!!!COG1762	GC_00002430	1	1	1	1
Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	0	1	1	NA	COG2352	GC_00001259	1	1	1	1
Predicted oxidoreductase YdhF (YdhF) (PDB:1UR3)	0	1	1	NA	COG4989	GC_00001367	1	1	1	1
ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)	0	1	1	NA	COG0410	GC_00000533	1	1	1	1
Zn-dependent alcohol/formaldehyde dehydrogenase (FrmA) (PDB:1A71)	0	1	1	NA	COG1062	GC_00003442	1	1	1	1
Endonuclease NucS, RecB family (NucS) (PDB:2VLD)	0	1	1	NA	COG1637	GC_00001587	1	1	1	1
dCTP deaminase (Dcd) (PDB:1XS1)	0	1	1	NA	COG0717	GC_00000643	1	1	1	1
Flagellar motor protein MotB (MotB)	0	1	1	NA	COG1360	GC_00001111	1	1	1	1
Transcriptional regulator DhaR of acetoin/glycerol metabolism (AcoR) (PDB:4LRX)	0	1	1	NA	COG3284	GC_00001917	1	1	1	1
C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)!!!Uncharacterized N-terminal domain of tricorn protease, contains WD40 repeats	0	1	1	NA	COG0793!!!COG4946	GC_00003170	1	1	1	1
Cytidine deaminase (Cdd) (PDB:1AF2)	0	1	1	NA	COG0295	GC_00000730, GC_00002988	1	1	1	1
Chorismate mutase (PheA) (PDB:1ECM)	0	1	1	NA	COG1605	GC_00000594	1	1	1	1
Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)	0	1	1	NA	COG1716	GC_00000984, GC_00001031, GC_00001121	1	1	1	1
O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)	0	1	1	NA	COG0318	GC_00000134, GC_00000417, GC_00000482, GC_00000708, GC_00002353, GC_00003080	1	1	1	1
Copper-binding protein CopC (methionine-rich) (CopC) (PDB:1IX2)	0	1	1	NA	COG2372	GC_00000927, GC_00003802	1	1	1	1
ABC-type Mn2+/Zn2+ transport system, ATPase component (ZnuC)	0	1	1	NA	COG1121	GC_00001688, GC_00003655	1	1	1	1
Beta-lactamase class A (PenP) (PDB:6W34)	0	1	1	NA	COG2367	GC_00001467	1	1	1	1
Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)	0	1	1	NA	COG0526	GC_00002444	1	1	1	1
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	0	1	1	NA	COG1012	GC_00000023, GC_00000029, GC_00000502, GC_00000626, GC_00000633, GC_00001896, GC_00001951, GC_00002329, GC_00002925, GC_00003399, GC_00003527, GC_00003894	1	1	1	1
Cell division protein SepF/YlmF, interacts with FtsZ (SepF) (PDB:3ZIH) (PUBMED:16420366;24218584)	0	1	1	NA	COG1799	GC_00001748	1	1	1	1
Flp pilus assembly protein TadC (TadC)	0	1	1	NA	COG2064	GC_00000144	1	1	1	1
Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family (PpiB) (PDB:4DGD)	0	1	1	NA	COG0652	GC_00000529, GC_00002728	1	1	1	1
RNA methyltransferase activator Trm112/YbaR (Trm112) (PDB:2KPI) (PUBMED:27986851;30010922)	0	1	1	NA	COG2835	GC_00000400	1	1	1	1
Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)	0	1	1	NA	COG0210	GC_00002374, GC_00002706, GC_00004096	1	1	1	1
DNA-directed RNA polymerase specialized sigma subunit (FliA) (PDB:1RP3)	0	1	1	NA	COG1191	GC_00000138	1	1	1	1
Osmotically-inducible protein OsmY, contains BON domain (OsmY) (PUBMED:12878000)	0	1	1	NA	COG2823	GC_00002864	1	1	1	1
Multisubunit Na+/H+ antiporter, MnhF subunit (MnhF) (PDB:6CFW)	0	1	1	NA	COG2212	GC_00001240	1	1	1	1
Non-homologous end joining protein Ku, dsDNA break repair (YkoV)	0	1	1	NA	COG1273	GC_00001692	1	1	1	1
Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family (YkaA) (PDB:2IIU)	0	1	1	NA	COG1392	GC_00000355	1	1	1	1
ABC-type xylose transport system, periplasmic component (XylF) (PDB:4YWH)	0	1	1	NA	COG4213	GC_00001630, GC_00002789	1	1	1	1
Chromosome segregation and condensation protein ScpB (ScpB) (PDB:1T6S)	0	1	1	NA	COG1386	GC_00002615	1	1	1	1
Ribosomal protein L9 (RplI) (PDB:1VS6) (PUBMED:27112601)	0	1	1	NA	COG0359	GC_00000675	1	1	1	1
Cytosine/uracil/thiamine/allantoin permease (FUI1) (PDB:2JLN)	0	1	1	NA	COG1953	GC_00000671, GC_00002821	1	1	1	1
Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase (GatA) (PDB:3H0L)	0	1	1	NA	COG0154	GC_00000990, GC_00002236, GC_00002674, GC_00002759	1	1	1	1
3,4-dihydroxy-2-butanone 4-phosphate synthase (RibB) (PDB:1G57)	0	1	1	NA	COG0108	GC_00000324	1	1	1	1
Uncharacterized conserved protein, DUF1684 family (PDB:2LNU)	0	1	1	NA	COG3358	GC_00000200, GC_00002010, GC_00002437	1	1	1	1
Short-chain dehydrogenase (YqjQ)	0	1	1	NA	COG0300	GC_00001153, GC_00001425, GC_00001664, GC_00002065, GC_00002701, GC_00003061	1	1	1	1
DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)	0	1	1	NA	COG0640	GC_00000076, GC_00000292, GC_00000683, GC_00000728, GC_00001714, GC_00001946, GC_00002013, GC_00002143, GC_00002477, GC_00002533, GC_00003289, GC_00003379, GC_00003798, GC_00004088	1	1	1	1
Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily (NimA) (PDB:1W3O)	0	1	1	NA	COG3467	GC_00000017, GC_00000038, GC_00001086, GC_00001840, GC_00002221	1	1	1	1
Organic hydroperoxide reductase OsmC/OhrA (OsmC) (PDB:1QWI)	0	1	1	NA	COG1764	GC_00000848, GC_00000879, GC_00000882	1	1	1	1
Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	0	1	1	NA	COG0119	GC_00001487	1	1	1	1
Porphobilinogen deaminase (HemC) (PDB:1AH5)	0	1	1	NA	COG0181	GC_00002174	1	1	1	1
Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)!!!Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)	0	1	1	NA	COG0483!!!COG0584	GC_00002097	1	1	1	1
UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family (MurC)	0	1	1	NA	COG0773	GC_00003512	1	1	1	1
Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)	0	1	1	NA	COG0556	GC_00001082	1	1	1	1
Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9)	0	1	1	NA	COG0473	GC_00000383, GC_00002952	1	1	1	1
Ribosome-binding ATPase YchF, GTP1/OBG family (GTP1) (PDB:2DWQ) (PUBMED:21527254)	0	1	1	NA	COG0012	GC_00002785	1	1	1	1
Queuosine precursor transporter YhhQ, DUF165 family (YhhQ) (PUBMED:31481610)	0	1	1	NA	COG1738	GC_00000604	1	1	1	1
Argininosuccinate synthase (ArgG) (PDB:1J1Z)	0	1	1	NA	COG0137	GC_00001029	1	1	1	1
Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	0	1	1	NA	COG1670	GC_00000176, GC_00000219, GC_00000530, GC_00001131, GC_00001674, GC_00001775, GC_00002224, GC_00002940, GC_00003131, GC_00003715	1	1	1	1
Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake (Smf) (PDB:3MAJ)	0	1	1	NA	COG0758	GC_00002387	1	1	1	1
Glycerol-3-phosphate dehydrogenase (GpsA) (PDB:1EVY)	0	1	1	NA	COG0240	GC_00000463	1	1	1	1
Pentose-5-phosphate-3-epimerase (Rpe) (PDB:1H1Y)	0	1	1	NA	COG0036	GC_00001382	1	1	1	1
Endonuclease YncB, thermonuclease family (YncB)	0	1	1	NA	COG1525	GC_00002746	1	1	1	1
Secreted virulence factor YukE/EsxA, WXG100 family (EsxA) (PDB:3GVM) (PUBMED:15657139;24798022;27600772)	0	1	1	NA	COG4842	GC_00000444	1	1	1	1
UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase (Rfe) (PDB:4J72)	0	1	1	NA	COG0472	GC_00001582, GC_00002048	1	1	1	1
Malic enzyme (SfcA) (PDB:1DO8)	0	1	1	NA	COG0281	GC_00000510, GC_00002960	1	1	1	1
1-acyl-sn-glycerol-3-phosphate acyltransferase (PlsC) (PDB:1IUQ)	0	1	1	NA	COG0204	GC_00001590, GC_00001609, GC_00001911, GC_00002315	1	1	1	1
Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain (RibD1) (PDB:2O7P)!!!Pyrimidine reductase, riboflavin biosynthesis (RibD) (PDB:2O7P)	0	1	1	NA	COG0117!!!COG1985	GC_00002193	1	1	1	1
Uncharacterized conserved protein YcnI, contains cohesin/reeler-like domain (YcnI) (PDB:3ESM)	0	1	1	NA	COG4549	GC_00000148, GC_00002853	1	1	1	1
Uncharacterized conserved protein YegP, UPF0339 family (YegP) (PDB:2K49)	0	1	1	NA	COG3422	GC_00001627, GC_00002079, GC_00002123, GC_00003549	1	1	1	1
Sensor histidine kinase DipB regulating citrate/malate metabolism (CitA)	0	1	1	NA	COG3290	GC_00000831, GC_00001673, GC_00002507	1	1	1	1
Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)	0	1	1	NA	COG0843	GC_00003058	1	1	1	1
Galactose-1-phosphate uridylyltransferase (GalT) (PDB:1GUP)	0	1	1	NA	COG1085	GC_00000323	1	1	1	1
Lhr-like helicase (Lhr) (PDB:5V9X)	0	1	1	NA	COG1201	GC_00002991	1	1	1	1
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase (Cls) (PDB:1BYR)	0	1	1	NA	COG1502	GC_00001099, GC_00001805	1	1	1	1
Tryptophan 2,3-dioxygenase (vermilion) (TDO2) (PDB:2NOX)	0	1	1	NA	COG3483	GC_00000111	1	1	1	1
Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily (PaaY) (PDB:6IVE)	0	1	1	NA	COG0663	GC_00000061	1	1	1	1
Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)	0	1	1	NA	COG0071	GC_00000116, GC_00001638, GC_00002304	1	1	1	1
O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	0	1	1	NA	COG0318!!!COG0596	GC_00000801	1	1	1	1
Uncharacterized membrane protein YidH, DUF202 family (YidH)	0	1	1	NA	COG2149	GC_00000166	1	1	1	1
Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)	0	1	1	NA	COG0693	GC_00001246, GC_00002418, GC_00003448	1	1	1	1
Ribosomal protein L10 (RplJ) (PDB:5IT8)	0	1	1	NA	COG0244	GC_00001521	1	1	1	1
Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)	0	1	1	NA	COG3209	GC_00003156	1	1	1	1
Predicted phosphohydrolase, MPP superfamily (YaeI)	0	1	1	NA	COG1408	GC_00003380	1	1	1	1
DNA polymerase III sliding clamp (beta) subunit, PCNA homolog (DnaN) (PDB:1JQJ)	0	1	1	NA	COG0592	GC_00000638	1	1	1	1
DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	0	1	1	NA	COG0583	GC_00000511, GC_00000595, GC_00000596, GC_00000663, GC_00000745, GC_00000802, GC_00001511, GC_00002061, GC_00002297, GC_00002524, GC_00002590, GC_00002761, GC_00002871, GC_00003317, GC_00003360, GC_00003607, GC_00003969	1	1	1	1
Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs (MutY) (PDB:1KG2)	0	1	1	NA	COG1194	GC_00002606	1	1	1	1
tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA (TruB) (PDB:1K8W)	0	1	1	NA	COG0130	GC_00000305	1	1	1	1
